chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,6,7,8,10}",5.951,10.400,21.200,0.299762
"{0,1,3,7,10}",5.953,8.600,19.200,0.381706
"{0,3,5,7,11}",5.956,9.200,19.800,0.354206
"{0,4,6,10,11}",5.958,10.200,22.400,0.341468
"{0,2,3,7,9}",5.959,8.600,18.600,0.391706
"{0,1,4,5,8}",5.971,8.600,16.600,0.358333
"{0,1,6,8,9}",5.985,9.400,19.800,0.335317
"{0,3,4,8,9}",5.990,9.400,20.000,0.346429
"{0,1,4,9,10}",5.993,9.800,20.800,0.331984
"{0,1,4,7,11}",6.009,9.200,19.600,0.371151
"{0,3,4,10,11}",6.009,10.200,20.600,0.340317
"{0,7,8,9,11}",6.009,10.200,19.600,0.304444
"{0,2,3,4,6}",6.023,10.400,21.800,0.269762
"{0,1,2,6,10}",6.038,10.600,21.000,0.314206
"{0,1,5,8,11}",6.054,9.400,19.800,0.344484
"{0,1,7,8,9}",6.054,10.400,20.800,0.331151
"{0,1,4,6,9}",6.057,9.000,19.400,0.349484
"{0,5,6,7,9}",6.057,10.200,21.800,0.337540
"{0,3,4,5,7}",6.073,9.600,19.000,0.332778
"{0,3,7,10,11}",6.073,9.800,19.000,0.369722
"{0,1,5,7,11}",6.073,10.000,22.200,0.341468
"{0,2,3,4,8}",6.073,10.600,21.000,0.294206
"{0,7,8,10,11}",6.073,10.600,19.800,0.297778
"{0,3,4,9,10}",6.076,10.000,22.800,0.353413
"{0,4,8,9,10}",6.076,10.200,21.400,0.314206
"{0,2,3,6,7}",6.087,9.400,19.800,0.341984
"{0,2,6,7,8}",6.087,10.600,22.800,0.318968
"{0,6,8,10,11}",6.087,10.600,21.400,0.288929
"{0,3,5,6,10}",6.102,9.000,19.000,0.368373
"{0,2,5,6,11}",6.109,10.000,22.800,0.335913
"{0,2,6,10,11}",6.109,10.000,21.200,0.320040
"{0,1,3,4,8}",6.119,9.600,18.800,0.340556
